Registration Number,International Designator,Object Name,Country of Origin,Date of Launch,Function,Status,Registration Document,UN Registered,GSO Location,Date of Decay or Change,Secretariat Remarks,External Website,Launch Vehicle,Place of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes)
D-R074,2018-099BB,,Germany,2018-12-03,Eu:CROPIS (Euglena Combined Regenerative Organic Food Production in Space) is focusing on testing the long-term stability of a biological life support system for missions to the Moon or Mars. It should demonstrate that such a closed life support system (CLSS) can be operated and reinitiated under various gravity conditions.,in orbit,/osoindex/data/documents/de/st/stsgser.e907.html,T,,,------ ,https://www.dlr.de/dlr/en/desktopdefault.aspx/tabid-11082/,,,,,,
D-R066,2018-099Y,,Germany,2018-12-03,University nanosatellite for educational purposes and technology demonstration. Satellite can send telemetry and receive commands.,in orbit,/osoindex/data/documents/de/st/stsgser.e907.html,T,,,------ ,,,,,,,
ROLEU.ESP.20,2018-099L,,Spain,2018-12-03,"Technology demonstration. Nanosatellite that complies with the 2U standard and carries as payloads an ADS-B receiver for tracking aircraft and a bidirectional communication system for monitoring assets in remote areas, both payloads being designed for use exclusively in the civilian sector.",in orbit,/osoindex/data/documents/es/st/stsgser.e955.html,T,,,------,,,,,,,
4,2018-099BJ,,Poland,2018-12-03,"PW-Sat2 is the second Polish student satellite (and the fourth Polish satellite in general). The project was started in 2013 by members of the Students’ Space Association at the Warsaw University of Technology.  PW-Sat2’s main technical goal is to test new deorbit technology in form of a large deorbit sail whereas the project’s purpose is to educate a group of new space engineers. The satellite’s transmitter frequency is 435.275 MHz and its receiver frequency is 145.900 MHz. The ground station for receiving telemetry and transmitting telecommands is located in Warsaw, Poland. ",decayed,/osoindex/data/documents/pl/st/stsgser.e874.html,T,,2021-02-23,"Information concerning deorbit plan, expected orbital lifetime and weblink to deorbit analyses provided in ST/SG/SER.E/874.",http://pw-sat.pl/en,,,,,,
M1,2018-099*,,Australia,2018-12-03,Research satellite that is equipped with automatic identification system (AIS) and Automatic dependent surveillance-broadcast (ADS–B) receivers and a software-defined radio,in orbit,/osoindex/data/documents/au/st/stsgser.e916.html,T,,,International Designator pending assignment. Notification that object no longer functional as of 01/03/2019 provided in ST/SG/SER.E/916.,,,,,,,
Sirion Pathfinder-2 ,2018-099B,(HELIOS WIRE PATHFINDER 2),Australia,2018-12-03,Telecommunications ,in orbit,/osoindex/data/documents/au/st/stsgser.e916.html,T,,,------,,,,,,,
Centauri 2,2018-099BD,,Australia,2018-12-03,Telecommunications,in orbit,/osoindex/data/documents/au/st/stsgser.e916.html,T,,,------ ,,,,,,,
3504-2018-013,2018-097B,,Russian Federation,2018-11-30,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e872.html,T,,,------,,,,,,,
3505-2018-013,2018-097C,,Russian Federation,2018-11-30,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e872.html,T,,,------,,,,,,,
3503-2018-013,2018-097A,,Russian Federation,2018-11-30,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e872.html,T,,,------ ,,,,,,,
2018-COL-01,2018-096C,,Colombia,2018-11-29,FACSat-1 is a 3U amateur nanosatellite equipped with an optical camera with a 30m ground sample distance. FACSat-1 is intended for capacity-building in space technology by the Colombians Air Force.,decayed,/osoindex/data/documents/co/st/stsgser.e885.html,T,,2023-06-03,Notification by State of registry that the space object completed its duty and service life on 7 June 2023 in ST/SG/SER.E/885/Add.1,,,,,,,
Centauri 1,2018-096D,,Australia,2018-11-29,Telecommunications,decayed,/osoindex/data/documents/au/st/stsgser.e916.html,T,,2023-03-20,------,,,,,,,
FIN-3-SAT-2018,2018-096AA,,Finland,2018-11-29,2U cubesat designed for peaceful demonstration purposes,decayed,/osoindex/data/documents/fi/st/stsgser.e878.html,T,,2023-10-22,------,https://reaktorspace.com/reaktor-hello-world/,,,,,,
MY009,2018-096V,,Malaysia,2018-11-29,"Technology development and demonstration
",decayed,/osoindex/data/documents/my/a/aac.105inf453.html,T,,2022-12-09,------,,,,,,,
ROLEU.ESP.19,2018-096K,,Spain,2018-11-29,"Education, technology demonstration and Earth observation through a VGA camera",in orbit,/osoindex/data/documents/es/st/stsgser.e955.html,T,,,------,,,,,,,
2018-MA-SC-002,2018-095A,,Morocco,2018-11-21,Earth observation,in orbit,/osoindex/data/documents/ma/st/stsgser.e1036.html,T,,,Mentioned by France in ST/SG/SER.E/886.  ,,,,,,,
3502-2018-012,2018-091A,,Russian Federation,2018-11-16,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station.",deorbited,/osoindex/data/documents/ru/st/stsgser.e872.html,T,,2019-06-04,------,,,,,,,
Proxima I,2018-088E,,Australia,2018-11-11,Telecommunications,decayed,/osoindex/data/documents/au/st/stsgser.e916.html,T,,2024-05-18,Mentioned by New Zealand in ST/SG/SER.E/911.,,,,,,,
Proxima II,2018-088G,,Australia,2018-11-11,Telecommunications,decayed,/osoindex/data/documents/au/st/stsgser.e916.html,T,,2024-05-20,Mentioned by New Zealand in ST/SG/SER.E/911.,,,,,,,
3501-2018-011,2018-086A,(GLONASS),Russian Federation,2018-11-03,Work on the Global Navigation Satellite System (GLONASS),in orbit,/osoindex/data/documents/ru/st/stsgser.e872.html,T,,,------,,,,,,,
CFOSAT 1,2018-083A,,China,2018-10-29,Marine observation,in orbit,/osoindex/data/documents/cn/st/stsgser.e898.html,T,,,------,,,,,,,
2014-076A-D,2014-076*,TARGET MARKER B,Japan,2018-10-25,TM-B is a target marker for a touchdown operation by Hayabusa2,on Ryugu,/osoindex/data/documents/jp/st/stsgser.e966.html,T,,2018-10-25,International Designator pending assignment. Deployed from Hayabusa2 (international designator 2014-076A). Date of launch is date of deployment.,,,,,,,
3500-2018-010,2018-082A,,Russian Federation,2018-10-25,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e868.html,T,,,------,,,,,,,
RA 11,2018-076A,,Argentina,2018-10-07,------,in orbit,/osoindex/data/documents/ar/st/stsgser.e893.html,T,,,Date of launch is 2018-10-08 using UTC.,,,,,,,
D-R061,2014-076*,,Germany,2018-10-03,"MASCOT is a mobile landing device carrying scientific instruments to study the surface of the asteroid ""Ryugu"". This includes carrying out geological and physical measurements of the surrounding environment and the subsoil from the asteroid's
surface, determining the surface temperature as well as the thermal properties of the regolith, investigating its mineralogical composition and its magnetic field.",on Ryugu,/osoindex/data/documents/de/st/stsgser.e894.html,T,,2018-10-03,International Designator pending assignment. Deployed from Hayabusa2 (international designator 2014-076A). Date of launch; date of deployment; and date when no longer operational (2018-10-03 1904 UTC) provided by State of registry. Indicated date of launch is date of deployment. National designator provided in ST/SG/SER.E/907.,,,,,,,
2014-076A-A,2014-076*,,Japan,2018-09-21,Minerva-II-1A is a rover that landed on the surface of Ryugu and moved using a hopping mechanism,on Ryugu,/osoindex/data/documents/jp/st/stsgser.e966.html,T,,2018-09-21,International Designator pending assignment. Deployed from Hayabusa2 (international designator 2014-076A). Date of launch is date of deployment. Space object no longer function as of 9 November 2019  provided by State of registry in ST/SG/SER.E/966.,,,,,,,
2014-076A-B,2014-076*,,Japan,2018-09-21,Minerva-II-1B is a rover that landed on the surface of Ryugu and moved using a hopping mechanism,on Ryugu,/osoindex/data/documents/jp/st/stsgser.e966.html,T,,2018-09-21,International Designator pending assignment. Deployed from Hayabusa2 (international designator 2014-076A). Date of launch is date of deployment. Space object no longer function as of 9 November 2019 provided by State of registry in ST/SG/SER.E/966.,,,,,,,
3497-2018-009,1998-067PH,,Russian Federation,2018-08-15,Scientific and educational applications,decayed,/osoindex/data/documents/ru/st/stsgser.e914.html,T,,2020-12-09,Date of launch is date of deployment from the ISS. ,,,,,,,
3496-2018-009,1998-067PG,,Russian Federation,2018-08-15,Scientific and educational applications,decayed,/osoindex/data/documents/ru/st/stsgser.e914.html,T,,2020-12-09,Date of launch is date of deployment from the ISS. ,,,,,,,
3499-2018-009,1998-067PK,,Russian Federation,2018-08-15,Experimental nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e914.html,T,,2020-08-24,Date of launch is date of deployment from the ISS. ,,,,,,,
3498-2018-009,1998-067PJ,,Russian Federation,2018-08-15,Experimental nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e914.html,T,,2020-09-05,Date of launch is date of deployment from the ISS. ,,,,,,,
BTN1,1998-067PF,,Bhutan,2018-08-10,"1. To capture images of the Earth; 2. To deliver Automatic Packet Reporting System (APRS) digital repeater services to amateur radio users; 3. To collect data from remote ground  sensors 
developed by students; 4. To demonstrate the performance of  a newly-designed global positioning system (GPS) chip in a 1U CubeSat; 5. To demonstrate the effects of a single-event latch-up on the satellite; 
6. To measure the magnetic field in space for comparison with ground data",decayed,/osoindex/data/documents/bt/a/aac.105inf437.html,T,,2020-11-18,------,,,,,,,
008,1998-067P*,(BIRDS-MY),Malaysia,2018-08-10,"1.  To capture images of Earth. 2.  To deliver Automatic Packet Reporting System (APRS) digital repeater services to amateur radio users.
",decayed,/osoindex/data/documents/my/a/aac.105inf441.html,T,,2020-11-20,Date of launch is date of deployment from the ISS. International Designator pending assignment.,,,,,,,
Telkom 4 (Merah Putih),2018-064A,,Indonesia,2018-08-07,Communication satellite,in GSO,/osoindex/data/documents/id/st/stsgser.e883.html,T,+108.0 degrees East,,------,,,,35792.93,35780.28,0.03,1436.1
BG-2018-01,1998-067NZ,,Bulgaria,2018-07-13,Amateur satellite ,decayed,/osoindex/data/documents/bg/st/stsgser.e1295.html,T,,2020-10-15,The registration submission for this space object is presently being processed by the United Nations Secretariat. Date of launch is date of deployment from the ISS. International Designator provided by State of registry.,,,,,,,
3495-2018-008,2018-058A,,Russian Federation,2018-07-10,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station.",deorbited,/osoindex/data/documents/ru/st/stsgser.e855.html,T,,2019-01-25,Date of launch is 09/07/2018 using UTC.,,,,,,,
3494-2018-007,2018-053A,(GLONASS),Russian Federation,2018-06-16,Work on the Global Navigation Satellite System (GLONASS),in orbit,/osoindex/data/documents/ru/st/stsgser.e853.html,T,,,------,,,,,,,
2018-052A,2018-052A,IGS R-6,Japan,2018-06-12,Satellite conducting missions assigned by the Government of Japan,in orbit,/osoindex/data/documents/jp/st/stsgser.e862.html,T,,,------,,,,,,,
3493-2018-006,2018-051A,,Russian Federation,2018-06-06,"Delivery to the International Space Station of the crew of Expeditions 56 and 57, consisting of Sergei Valeryevich Prokopyev (Russian Federation), commander of the manned transport vehicle, and flight engineers Alexander Gerst (Germany) and Serena Auñón-Chancellor (United States of America)",recovered,/osoindex/data/documents/ru/st/stsgser.e853.html,T,,2018-12-20,------,,,,,,,
GF-6,2018-048A,,China,2018-06-02,Earth observation,in orbit,/osoindex/data/documents/cn/st/stsgser.e898.html,T,,,------,,,,649.4,630.93,97.8,97.52
Luojia 1-01,2018-048B,,China,2018-06-02,Scientific research,in orbit,/osoindex/data/documents/cn/st/stsgser.e856.html,T,,,------,,,,,,,
ZHOBT-04,2018-040D,OHS-03,China,2018-04-26,Earth observation,decayed,/osoindex/data/documents/cn/st/stsgser.e898.html,T,,2024-10-02,------,,,,,,,
ZHOBT-01,2018-040A,OHS-01,China,2018-04-26,Earth observation,decayed,/osoindex/data/documents/cn/st/stsgser.e898.html,T,,2024-11-14,------,,,,,,,
ZHOBT-05,2018-040E,OHS-04,China,2018-04-26,Earth observation,in orbit,/osoindex/data/documents/cn/st/stsgser.e898.html,T,,,------,,,,,,,
ZHOBT-03,2018-040C,OHS-02,China,2018-04-26,Earth observation,in orbit,/osoindex/data/documents/cn/st/stsgser.e898.html,T,,,------,,,,,,,
3492-2019-005,2018-037A,,Russian Federation,2018-04-18,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in GSO,/osoindex/data/documents/ru/st/stsgser.e848.html,T,,,------,,,,35788.66,35783.71,0.02,1436.08
GF-1-03,2018-031B,GAOFEN 1-03,China,2018-03-31,"For general survey of land territory, crop yield estimation, disaster mitigation and so on",in orbit,/osoindex/data/documents/cn/st/stsgser.e856.html,T,,,------,,,,641.91,639.25,98.08,97.53
GF-1-02,2018-031A,GAOFEN 1-02,China,2018-03-31,"For general survey of land territory, crop yield estimation, disaster mitigation and so on",in orbit,/osoindex/data/documents/cn/st/stsgser.e856.html,T,,,------,,,,641.93,639.35,98.08,97.53
GF-1-04,2018-031D,GAOFEN 1-04,China,2018-03-31,"For general survey of land territory, crop yield estimation, disaster mitigation and so on",in orbit,/osoindex/data/documents/cn/st/stsgser.e856.html,T,,,------,,,,641.23,639.84,98.08,97.53
3491-2018-004,2018-028A,,Russian Federation,2018-03-29,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,decayed,/osoindex/data/documents/ru/st/stsgser.e849.html,T,,2021-04-01,------,,,,,,,
3490-2018-003,2018-026A,,Russian Federation,2018-03-21,"Delivery to the International Space Station of the crew of Expeditions 55 and 56, consisting of Oleg Germanovich Artemyev (Russian Federation), commander of the manned transport vehicle, and flight engineers Andrew Feustel and Richard Arnold (both of the United States of America)",recovered,/osoindex/data/documents/ru/st/stsgser.e849.html,T,,2018-10-04,------,,,,,,,
ROLEU.ESP.18,2018-023A,,Spain,2018-03-06,Provision of space capacity for telecommunications services,in GSO,/osoindex/data/documents/es/st/stsgser.e955.html,T,-030.0 degrees East,,------,,,,35799.7,35773.03,0.04,1436.09
2018-021A,2018-021A,IGS 6,Japan,2018-02-27,Satellite conducting missions assigned by the Government of Japan,in orbit,/osoindex/data/documents/jp/st/stsgser.e846.html,T,,,------,,,,,,,
ROLEU.ESP.15,2018-020A,,Spain,2018-02-22,"Provision of Earth observation images for maritime surveillance applications, mapping, defence and security, risks and emergencies, land use planning, civil engineering and environmental monitoring through the capture of images 24 hours a day regardless of atmospheric conditions, day or night",in orbit,/osoindex/data/documents/es/st/stsgser.e955.html,T,,,------,,,,,,,
3489-2018-002,2018-019A,,Russian Federation,2018-02-13,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",deorbited,/osoindex/data/documents/ru/st/stsgser.e842.html,T,,2018-08-30,------,,,,,,,
2018-015D,2018-015D,,Uruguay,2018-02-02,Commercial Earth observation,in orbit,/osoindex/data/documents/uy/st/stsgser.e843.html,T,,,------,,,,,,,
2018-015K,2018-015K,,Uruguay,2018-02-02,Commercial Earth observation,decayed,/osoindex/data/documents/uy/st/stsgser.e843.html,T,,2023-12-24,------,,,,,,,
2018-DK-02,2018-015E,,Denmark,2018-02-02,"GOMX-4B is a 6U satellite operating in tandem operation with another 6U satellite, Ulloriaq. GOMX-4B is equipped with an Automatic Dependent Surveillance Broadcast (ADS-B) payload, a star-tracker, a propulsion module, a Radiation Hardness Assurance board and a hyper-spectral camera. The purpose of the tandem operation is to demonstrate inter-satellite linking and station-keeping capabilities (satellite separation and orbit control) through GOMX-4B’s propulsion system.",decayed,/osoindex/data/documents/dk/st/stsgser.e840.html,T,,2024-10-09,------,,,,,,,
2018-DK-01,2018-015F,GOMX4 A,Denmark,2018-02-02,"Ulloriaq is a 6U satellite operating in tandem with another 6U satellite, GOMX-4B. Ulloriaq is equipped with an Automatic Identification System (AIS) payload, Automatic Dependent Surveillance Broadcast (ADS-B) payload, an X-band receiver and a visual camera. The Ulloriaq demonstration is part of an analysis seeking to identify best-practice and future efforts to reinforcing Danish Defence’s surveillance of the Artic within Denmark.",decayed,/osoindex/data/documents/dk/st/stsgser.e840.html,T,,2024-08-18,------,,,,,,,
ZH 1,2018-015C,ZHANGZHENG 1,China,2018-02-02,Scientific research,in orbit,/osoindex/data/documents/cn/st/stsgser.e856.html,T,,,------,,,,,,,
3488-2018-001,2018-014B,,Russian Federation,2018-02-01,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e842.html,T,,,------,,,,,,,
3487-2018-001,2018-014A,,Russian Federation,2018-02-01,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e842.html,T,,,------,,,,,,,
D-R060,2018-014G,,Germany,2018-02-01,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",in orbit,/osoindex/data/documents/de/st/stsgser.e867.html,T,,,Mentioned by the Russian Federation in ST/SG/SER.E/842.,,,,,,,
D-R058,2018-014H,,Germany,2018-02-01,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",in orbit,/osoindex/data/documents/de/st/stsgser.e867.html,T,,,Mentioned by the Russian Federation in ST/SG/SER.E/842.,,,,,,,
D-R059,2018-014K,,Germany,2018-02-01,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",in orbit,/osoindex/data/documents/de/st/stsgser.e867.html,T,,,Mentioned by the Russian Federation in ST/SG/SER.E/842.,,,,,,,
D-R057,2018-014J,,Germany,2018-02-01,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",in orbit,/osoindex/data/documents/de/st/stsgser.e867.html,T,,,Mentioned by the Russian Federation in ST/SG/SER.E/842.,,,,,,,
D-R062,2018-014*,,Germany,2018-02-01,Planned function was the qualification of novel hardware as well as amateur radio services,decayed,/osoindex/data/documents/de/st/stsgser.e894.html,T,,2018-02-01,"The State of registry notes that the separation of the satellite from the container could not be confirmed; satellite might have been stuck in the separation container. Only two short signals received. Reentry not confirmed, exact date and time of reentry uncertain; most likely reentry on the day of launch (01.02.2018) in ST/SG/SER.E/894. International Designator not assigned. Mentioned by the Russian Federation in ST/SG/SER.E/842. National designator provided in ST/SG/SER.E/907.",,,,,,,
NZ-2018-001,2018-010F,,New Zealand,2018-01-21,Science/Art,decayed,/osoindex/data/documents/nz/st/stsgser.e866.html,T,,2018-03-22,------ ,http://www.thehumanitystar.com,,,,,,
2018-007A,2018-007A,,Japan,2018-01-17,Earth observation satellite,in orbit,/osoindex/data/documents/jp/st/stsgser.e846.html,T,,,------,,,,,,,
FIN-2-SAT-2018,2018-004D,POC 1,Finland,2018-01-12,"Experimental satellite, carrying a synthetic aperture radar. Data will be provided
commercially.",decayed,/osoindex/data/documents/fi/st/stsgser.e839.html,T,,2024-02-07,Notification that ICEYE-X1 non-operational as at 12 June 2018 in ST/SG/SER.E/839/Add.1.,,,,,,,
43113U 18004C,2018-004C,"LEO VANTAGE 1, TELESAT PHASE-1 LEO",Canada,2018-01-12,Communications,in orbit,/osoindex/data/documents/ca/st/stsgser.e996.html,T,,,------,https://www.telesat.com/,,,,,,
2017-082A,2017-082A,,Japan,2017-12-23,"GCOM-C is carrying the Second Generation Global Imager (SGLI), a multi-band optical imaging radiometer with 19 spectral channels. SGLI can measure light intensity from near ultraviolet to thermal infrared (380 nm to 12 μm) radiation emitted from the Earth. Using SGLI to conduct global and long-term observations of clouds, aerosols, ocean colour, vegetation, snow and ice, and other components can help elucidate the mechanism behind fluctuations in the radiation budget and carbon cycle, which is needed to make accurate projections regarding future temperature increases.",in orbit,/osoindex/data/documents/jp/st/stsgser.e846.html,T,,,------,,,,,,,
2017-082B,2017-082B,,Japan,2017-12-23,"SLATS will demonstrate the technology for orbit control at super low altitudes using ion engine technology developed by JAXA. technical data related to the atmosphere  acquired by SLATS will also be used for the design of future satellites. Furthermore, SLATS will photograph the Earth and its technology will be evaluated for future Earth observation satellites.",deorbited,/osoindex/data/documents/jp/st/stsgser.e846.html,T,,2019-10-01,------,,,,,,,
3486-2017-016,2017-081A,,Russian Federation,2017-12-17,"Delivery to the International Space Station of the crew of Expeditions 54 and 55, consisting of Anton Nikolaevich Shkaplerov (Russian Federation), commander of the manned transport vehicle, and flight engineers Scott Tingle (United States of America) and Norishige Kanai (Japan).",recovered,/osoindex/data/documents/ru/st/stsgser.e834.html,T,,2018-06-03,------,,,,,,,
001T-2017-DZ,2017-078A,,Algeria  ,2017-12-10,Satellite telecommunications on Ku band and Ka band and geolocation on L band ,in GSO,/osoindex/data/documents/dz/st/stsgser.e841.html,T,-024.8 degrees East,,------,,,,35801.59,35772.21,0.04,1436.11
3485-2017-015,2017-076A,,Russian Federation,2017-12-02,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e834.html,T,,,------,,,,,,,
2018-MA-SC-001,2017-070A,,Morocco,2017-11-08,Earth observation,in orbit,/osoindex/data/documents/ma/st/stsgser.e1036.html,T,,,------,,,,,,,
3484-2017-014,2017-037E,,Russian Federation,2017-10-30,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e826.html,T,,,Date of launch is date of deployment from Cosmos 2521.,,,,,,,
3483-2017-013,2017-065A,,Russian Federation,2017-10-14,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other expendable materials required for the crew, scientific experiments and operation of the Station",deorbited,/osoindex/data/documents/ru/st/stsgser.e826.html,T,,2018-04-26,------,,,,,,,
3482-2017-012,2017-055A,(GLONASS),Russian Federation,2017-09-22,Work on the Global Navigation Satellite System (GLONASS),in orbit,/osoindex/data/documents/ru/st/stsgser.e826.html,T,,,------,,,,,,,
3481-2017-011,2017-054A,,Russian Federation,2017-09-13,"Delivery to the International Space Station of the crew of Expeditions 53 and 54, consisting of Aleksandr Aleksandrovich Misurkin (Russian Federation), commander of the manned transport vehicle, and flight engineers Mark Vande Hei and Joseph Acaba (both of the United States of America).",recovered,/osoindex/data/documents/ru/st/stsgser.e826.html,T,,2018-02-28,Date of launch is 2017-09-12 using UTC.,,,,,,,
3480-2017-010,2017-037D,(SPUTNIK-INSPEKTOR),Russian Federation,2017-08-23,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2019-09-12,Date of launch is date of deployment from Cosmos 2519.,,,,,,,
3479-2017-009,1998-067NC,,Russian Federation,2017-08-18,Experimental nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2018-11-29,Date of launch is date of deployment from the ISS. Date of launch is 2017-08-17 using UTC.,,,,,,,
3476-2017-009,1998-067NA,,Russian Federation,2017-08-18,Experimental nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2019-07-30,Date of launch is date of deployment from the ISS. Date of launch is 2017-08-17 using UTC.,,,,,,,
3475-2017-009,1998-067MZ,,Russian Federation,2017-08-18,Experimental nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2019-10-20,Date of launch is date of deployment from the ISS. Date of launch is 2017-08-17 using UTC. ,,,,,,,
3477-2017-009,1998-067NB,,Russian Federation,2017-08-18,Experimental nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2019-09-08,Date of launch is date of deployment from the ISS. Date of launch is 2017-08-17 using UTC.,,,,,,,
3474-2017-008,2017-046A,,Russian Federation,2017-08-17,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in GSO,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,,Date of launch is 16 August 2017 using UTC. ,,,,35788.81,35784.77,0.04,1436.11
3478-2017-009,1998-067ND,TNS 0-2,Russian Federation,2017-08-17,Technological nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2019-10-15,Date of launch is date of deployment from the ISS.,,,,,,,
2017-044B,2017-044B,"(VENMS, VENUS)",Israel,2017-08-02,Earth observation scientific mission,in orbit,/osoindex/data/documents/il/a/aac.105inf431.html,T,,,------,,,,,,,
3473-2017-007,2017-043A,,Russian Federation,2017-07-28,"Delivery to the International Space Station of the crew of Expeditions 52 and 53, consisting of Sergei Nikolaevich Ryazansky (Russian Federation), commander of the manned transport vehicle, and flight engineers Randolph Bresnik (United States of America) and Paolo Nespoli (Italy)",recovered,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,2017-12-14,------,,,,,,,
3471-2017-006,2017-042*,,Russian Federation,2017-07-14,Scientific and educational applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,,International Designator pending assignment.,,,,,,,
3472-2017-006,2017-042*,,Russian Federation,2017-07-14,Scientific and educational applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,,International Designator pending assignment.,,,,,,,
3468-2017-006,2017-042*,,Russian Federation,2017-07-14,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,,International Designator pending assignment.,,,,,,,
3469-2017-006,2017-042*,,Russian Federation,2017-07-14,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,,International Designator pending assignment.,,,,,,,
3467-2017-006,2017-042A,,Russian Federation,2017-07-14,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,,------,,,,,,,
2017-042L,2017-042L,,Japan,2017-07-14,"Monitoring of sea ice at the Arctic Sea and other areas, volcanic ash and typhoons. ",in orbit,/osoindex/data/documents/jp/st/stsgser.e846.html,T,,,------,,,,,,,
42828,2017-042D,,Norway,2017-07-14,"Satellite for maritime surveillance by the Automatic Identification System (AIS).
Auxiliary technology demonstration payload for very-high frequency data exchange.
",in orbit,/osoindex/data/documents/no/st/stsgser.e830.html,T,,,Change in perigee parameters provided by Norway in ST/SG/SER.E/881.,,,,,,,
42826,2017-042B,,Norway,2017-07-14,"Satellite for maritime surveillance by the Automatic Identification System (AIS).
Scientific auxiliary payloads for sun irradiation and plasma monitoring.
",in orbit,/osoindex/data/documents/no/st/stsgser.e830.html,T,,,Change in perigee parameters provided by Norway in ST/SG/SER.E/881.,,,,,,,
3470-2017-006,2017-042F,,Russian Federation,2017-07-14,Scientific and educational applications,decayed,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,2025-01-16,International Designator provided by the State of Registry.,,,,,,,
1998-067MU,1998-067MU,BIRDS,Japan,2017-07-07,"Earth observation, outreach by sound signal transmission, and single event detection.",decayed,/osoindex/data/documents/jp/st/stsgser.e862.html,T,,2019-05-03,Deployed from the International Space Station. Date of launch is date of deployment from the ISS.,http://birds1.birds-project.com/,,,,,,
1002,2017-040A,INMARSAT S EAN,Greece,2017-06-28,"Telecommunication geostationary satellite that operates in Ku-band, Ka-band and S-band",in GSO,/osoindex/data/documents/gr/st/stsgser.e1044.html,T,+039 degrees East,,------,http://www.hellas-sat.net,,,35797.28,35776.79,0.04,1436.12
FIN-1-SAT-2017,2017-036L,,Finland,2017-06-23,"Aalto-1 is an educational satellite project with mission goal in technology
demonstration of three payloads; demonstration of miniature hyperspectral Earth
Observation camera; demonstration of miniature radiation monitoring instrument;
demonstration of electrostatic deorbiting device.",in orbit,/osoindex/data/documents/fi/st/stsgser.e839.html,T,,,------,,,,,,,
SUCHAI/1,2017-036Z,,Chile,2017-06-23,Educational and scientific study of the atmosphere,decayed,/osoindex/data/documents/cl/st/stsgser.e832.html,T,,2023-10-11,------,,,,,,,
0003,2017-036V,(QB50 AT03),Austria,2017-06-23,Part of the QB50 project to investigate the thermosphere. PEGASUS is equipped with a Langmuir probe to measure electron density and temperature.,decayed,/osoindex/data/documents/at/st/stsgser.e817.html,T,,2024-01-08,State of registry notes that the space object burned up in the Earth’s atmosphere on the morning of 8 January 2024 UTC in ST/SG/SER.E/817/Add.1.,http://www.pegasus-fhwn.at/,,,,,,
2017-B-SC-031,2017-036M,"(URSAMAIOR, QB50 IT02)",Belgium,2017-06-23,Scientific measurement of different zones of the thermosphere through a network of CubeSats carrying various instruments.,decayed,/osoindex/data/documents/be/st/stsgser.e809.html,T,,2024-07-01,------,,,,,,,
